Timestamp,Item_Category,Quantity
4/9/2023,Ice Cream,5
4/9/2023,Cool Drinks,1
4/10/2023,Ice Cream,5
4/10/2023,Fruits,1
4/11/2023,Cool Drinks,3
4/11/2023,Ice Cream,1
4/11/2023,Fruits,1
4/11/2023,Ice Cream,5
4/11/2023,Salads,3
4/11/2023,Salads,1
4/12/2023,Ice Cream,5
4/12/2023,Salads,1
4/12/2023,Ice Cream,3
4/12/2023,Salads,4
4/13/2023,Salads,3
4/13/2023,Ice Cream,3
4/14/2023,Salads,1
4/14/2023,Ice Cream,2
4/14/2023,Fruits,3
4/14/2023,Cool Drinks,3
4/15/2023,Cool Drinks,2
4/15/2023,Salads,4
4/15/2023,Cool Drinks,5
4/16/2023,Salads,3
4/16/2023,Ice Cream,4
4/16/2023,Salads,3
4/16/2023,Ice Cream,5
4/16/2023,Salads,2
4/17/2023,Salads,3
4/17/2023,Fruits,1
4/18/2023,Ice Cream,5
4/18/2023,Ice Cream,3
4/18/2023,Ice Cream,4
4/18/2023,Salads,1
4/18/2023,Salads,3
4/19/2023,Salads,4
4/19/2023,Cool Drinks,4
4/19/2023,Fruits,4
4/19/2023,Salads,4
4/20/2023,Ice Cream,5
4/21/2023,Cool Drinks,2
4/21/2023,Fruits,5
4/22/2023,Cool Drinks,5
4/22/2023,Salads,5
4/23/2023,Cool Drinks,3
4/23/2023,Fruits,4
4/23/2023,Fruits,5
4/24/2023,Fruits,2
4/25/2023,Salads,2
4/25/2023,Ice Cream,2
4/25/2023,Salads,1
4/26/2023,Cool Drinks,5
4/26/2023,Fruits,5
4/27/2023,Ice Cream,5
4/27/2023,Cool Drinks,5
4/27/2023,Ice Cream,2
4/28/2023,Ice Cream,4
4/28/2023,Salads,4
4/28/2023,Cool Drinks,2
4/28/2023,Cool Drinks,1
4/29/2023,Salads,4
4/29/2023,Cool Drinks,3
4/30/2023,Salads,2
4/30/2023,Ice Cream,5
4/30/2023,Ice Cream,5
4/30/2023,Salads,5
4/30/2023,Fruits,2
4/30/2023,Fruits,2
5/1/2023,Cool Drinks,5
5/1/2023,Cool Drinks,1
5/2/2023,Ice Cream,3
5/2/2023,Salads,1
5/2/2023,Fruits,5
5/2/2023,Salads,3
5/3/2023,Fruits,5
5/3/2023,Cool Drinks,4
5/4/2023,Fruits,4
5/4/2023,Salads,3
5/4/2023,Fruits,4
5/5/2023,Salads,3
5/5/2023,Fruits,4
5/6/2023,Cool Drinks,5
5/6/2023,Fruits,4
5/6/2023,Cool Drinks,3
5/6/2023,Fruits,5
5/6/2023,Ice Cream,5
5/6/2023,Ice Cream,2
5/6/2023,Cool Drinks,4
5/7/2023,Salads,4
5/7/2023,Fruits,5
5/7/2023,Salads,3
5/7/2023,Salads,4
5/7/2023,Cool Drinks,2
5/7/2023,Ice Cream,1
5/8/2023,Ice Cream,1
5/8/2023,Cool Drinks,2
5/8/2023,Cool Drinks,2
5/9/2023,Fruits,1
5/9/2023,Ice Cream,4
5/10/2023,Cool Drinks,1
5/11/2023,Fruits,3
5/11/2023,Ice Cream,2
5/12/2023,Ice Cream,3
5/12/2023,Salads,5
5/12/2023,Salads,4
5/12/2023,Fruits,5
5/13/2023,Ice Cream,3
5/14/2023,Cool Drinks,1
5/14/2023,Ice Cream,5
5/14/2023,Cool Drinks,2
5/14/2023,Fruits,3
5/14/2023,Fruits,1
5/15/2023,Cool Drinks,5
5/15/2023,Ice Cream,4
5/17/2023,Ice Cream,5
5/17/2023,Cool Drinks,1
5/18/2023,Cool Drinks,4
5/18/2023,Fruits,3
5/18/2023,Ice Cream,2
5/18/2023,Ice Cream,1
5/19/2023,Ice Cream,4
5/19/2023,Cool Drinks,5
5/20/2023,Ice Cream,2
5/20/2023,Ice Cream,5
5/20/2023,Fruits,1
5/20/2023,Salads,5
5/20/2023,Salads,4
5/21/2023,Cool Drinks,2
5/22/2023,Salads,1
5/22/2023,Salads,4
5/22/2023,Salads,1
5/22/2023,Ice Cream,3
5/23/2023,Fruits,1
5/23/2023,Fruits,1
5/24/2023,Cool Drinks,2
5/24/2023,Salads,5
5/24/2023,Fruits,1
5/25/2023,Salads,1
5/25/2023,Cool Drinks,4
5/26/2023,Ice Cream,3
5/26/2023,Salads,4
5/26/2023,Ice Cream,3
5/27/2023,Ice Cream,1
5/27/2023,Cool Drinks,2
5/27/2023,Cool Drinks,1
5/28/2023,Fruits,1
5/29/2023,Ice Cream,3
5/29/2023,Salads,3
5/29/2023,Salads,1
5/30/2023,Ice Cream,3
5/30/2023,Fruits,3
5/30/2023,Ice Cream,3
5/30/2023,Salads,5
5/30/2023,Fruits,4
5/30/2023,Ice Cream,3
5/31/2023,Fruits,2
5/31/2023,Fruits,5
6/1/2023,Ice Cream,5
6/1/2023,Cool Drinks,2
6/1/2023,Salads,3
6/2/2023,Cool Drinks,5
6/2/2023,Fruits,4
6/3/2023,Salads,4
6/3/2023,Salads,1
6/4/2023,Fruits,3
6/4/2023,Salads,3
6/5/2023,Cool Drinks,2
6/5/2023,Cool Drinks,5
6/5/2023,Ice Cream,4
6/5/2023,Fruits,3
6/5/2023,Fruits,1
6/6/2023,Salads,2
6/7/2023,Fruits,3
6/8/2023,Ice Cream,2
6/8/2023,Cool Drinks,4
6/8/2023,Ice Cream,3
6/8/2023,Cool Drinks,4
6/9/2023,Fruits,2
6/9/2023,Ice Cream,2
6/10/2023,Salads,2
6/10/2023,Fruits,1
6/11/2023,Fruits,4
6/11/2023,Salads,3
6/11/2023,Fruits,3
6/12/2023,Cool Drinks,5
6/12/2023,Fruits,1
6/12/2023,Salads,3
6/12/2023,Fruits,3
6/13/2023,Cool Drinks,3
6/15/2023,Salads,2
6/15/2023,Ice Cream,1
6/15/2023,Salads,2
6/15/2023,Fruits,1
6/16/2023,Salads,3
6/16/2023,Fruits,4
6/16/2023,Fruits,5
6/17/2023,Cool Drinks,1
6/17/2023,Cool Drinks,5
6/17/2023,Cool Drinks,1
6/17/2023,Fruits,1
6/18/2023,Salads,2
6/18/2023,Cool Drinks,3
6/18/2023,Salads,3
6/18/2023,Salads,5
6/18/2023,Salads,2
6/18/2023,Ice Cream,4
6/19/2023,Ice Cream,2
6/21/2023,Cool Drinks,3
6/21/2023,Salads,4
6/21/2023,Cool Drinks,4
6/22/2023,Salads,5
6/22/2023,Salads,4
6/23/2023,Fruits,3
6/23/2023,Salads,4
6/24/2023,Cool Drinks,4
6/24/2023,Cool Drinks,3
6/24/2023,Salads,4
6/24/2023,Cool Drinks,3
6/24/2023,Ice Cream,1
6/25/2023,Cool Drinks,1
6/25/2023,Fruits,4
6/25/2023,Fruits,2
6/26/2023,Salads,5
6/26/2023,Salads,4
6/27/2023,Fruits,2
6/27/2023,Ice Cream,4
6/28/2023,Cool Drinks,3
6/28/2023,Fruits,1
6/28/2023,Salads,2
6/28/2023,Ice Cream,1
6/29/2023,Cool Drinks,3
6/29/2023,Fruits,4
6/30/2023,Fruits,1
7/1/2023,Hot Soups,4
7/1/2023,Hot Soups,2
7/1/2023,Tea,5
7/3/2023,Coffee,1
7/3/2023,Pakoras,1
7/3/2023,Coffee,5
7/3/2023,Pakoras,4
7/4/2023,Tea,5
7/4/2023,Coffee,2
7/4/2023,Hot Soups,4
7/4/2023,Coffee,5
7/4/2023,Hot Soups,1
7/4/2023,Tea,5
7/5/2023,Tea,2
7/5/2023,Pakoras,1
7/5/2023,Tea,4
7/6/2023,Tea,2
7/6/2023,Pakoras,1
7/7/2023,Pakoras,3
7/7/2023,Hot Soups,4
7/8/2023,Tea,1
7/8/2023,Tea,4
7/8/2023,Hot Soups,3
7/8/2023,Hot Soups,2
7/9/2023,Hot Soups,1
7/9/2023,Pakoras,1
7/9/2023,Coffee,1
7/10/2023,Coffee,3
7/11/2023,Coffee,2
7/11/2023,Tea,2
7/12/2023,Hot Soups,4
7/13/2023,Hot Soups,5
7/13/2023,Coffee,4
7/14/2023,Pakoras,3
7/14/2023,Pakoras,3
7/14/2023,Tea,5
7/15/2023,Tea,5
7/15/2023,Pakoras,2
7/15/2023,Coffee,5
7/15/2023,Pakoras,5
7/16/2023,Pakoras,3
7/18/2023,Tea,3
7/18/2023,Pakoras,5
7/19/2023,Hot Soups,3
7/19/2023,Tea,3
7/19/2023,Tea,2
7/20/2023,Tea,4
7/21/2023,Hot Soups,4
7/21/2023,Tea,2
7/21/2023,Hot Soups,2
7/23/2023,Coffee,4
7/23/2023,Coffee,4
7/23/2023,Pakoras,3
7/23/2023,Coffee,1
7/24/2023,Pakoras,1
7/24/2023,Tea,2
7/24/2023,Hot Soups,4
7/25/2023,Hot Soups,4
7/25/2023,Pakoras,2
7/25/2023,Tea,1
7/25/2023,Pakoras,4
7/26/2023,Tea,4
7/26/2023,Tea,5
7/26/2023,Pakoras,3
7/26/2023,Pakoras,3
7/27/2023,Tea,1
7/28/2023,Pakoras,1
7/28/2023,Coffee,4
7/28/2023,Tea,4
7/28/2023,Tea,2
7/28/2023,Tea,2
7/28/2023,Hot Soups,1
7/29/2023,Hot Soups,5
7/29/2023,Tea,2
7/31/2023,Coffee,2
8/1/2023,Hot Soups,2
8/1/2023,Coffee,5
8/1/2023,Pakoras,1
8/1/2023,Tea,3
8/2/2023,Tea,1
8/2/2023,Tea,2
8/2/2023,Hot Soups,2
8/3/2023,Coffee,3
8/4/2023,Hot Soups,5
8/4/2023,Tea,2
8/5/2023,Tea,5
8/5/2023,Coffee,3
8/5/2023,Tea,3
8/5/2023,Hot Soups,4
8/6/2023,Tea,5
8/6/2023,Hot Soups,1
8/7/2023,Hot Soups,2
8/7/2023,Hot Soups,5
8/8/2023,Hot Soups,1
8/8/2023,Coffee,2
8/8/2023,Tea,2
8/8/2023,Hot Soups,5
8/9/2023,Tea,2
8/9/2023,Hot Soups,1
8/9/2023,Tea,2
8/9/2023,Coffee,3
8/9/2023,Pakoras,1
8/9/2023,Pakoras,2
8/11/2023,Coffee,3
8/11/2023,Tea,1
8/11/2023,Tea,2
8/11/2023,Tea,3
8/11/2023,Coffee,4
8/12/2023,Coffee,1
8/12/2023,Pakoras,2
8/12/2023,Pakoras,4
8/13/2023,Coffee,5
8/13/2023,Coffee,4
8/13/2023,Tea,1
8/14/2023,Hot Soups,4
8/14/2023,Hot Soups,5
8/14/2023,Coffee,4
8/14/2023,Coffee,5
8/15/2023,Coffee,3
8/15/2023,Hot Soups,4
8/15/2023,Pakoras,1
8/16/2023,Pakoras,1
8/16/2023,Tea,5
8/16/2023,Hot Soups,5
8/16/2023,Hot Soups,3
8/17/2023,Pakoras,1
8/17/2023,Hot Soups,5
8/17/2023,Tea,4
8/17/2023,Pakoras,5
8/17/2023,Pakoras,4
8/18/2023,Tea,3
8/18/2023,Pakoras,4
8/18/2023,Tea,5
8/19/2023,Coffee,1
8/19/2023,Hot Soups,2
8/19/2023,Pakoras,1
8/21/2023,Pakoras,5
8/21/2023,Tea,5
8/21/2023,Pakoras,5
8/21/2023,Tea,4
8/22/2023,Coffee,3
8/22/2023,Hot Soups,2
